2015/11/24 01:01:34 [127.0.0.1] (activate.adobe.com) [ka.php] R:[] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/24 01:03:34 [127.0.0.1] (activate.adobe.com) [ka.php] R:[] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/24 01:03:35 [127.0.0.1] (activate.adobe.com) [ka.php] R:[http://localhost/kakei/ka.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/24 01:03:41 [127.0.0.1] (activate.adobe.com) [ka.php] R:[http://localhost/kakei/ka.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/24 01:03:43 [127.0.0.1] (activate.adobe.com) [ka.php] R:[http://localhost/kakei/ka.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/24 01:04:23 [127.0.0.1] (activate.adobe.com) [ka.php] R:[http://localhost/kakei/ka.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/24 01:04:23 [127.0.0.1] (activate.adobe.com) [ka.php] R:[http://localhost/kakei/ka.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/24 01:04:24 [127.0.0.1] (activate.adobe.com) [summary.php] R:[http://localhost/kakei/ka.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/24 01:04:26 [127.0.0.1] (activate.adobe.com) [ka.php] R:[http://localhost/kakei/summary.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/24 01:05:57 [127.0.0.1] (activate.adobe.com) [ka.php] R:[http://localhost/kakei/summary.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/24 01:06:23 [127.0.0.1] (activate.adobe.com) [ka.php] R:[http://localhost/kakei/summary.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/24 01:06:49 [127.0.0.1] (activate.adobe.com) [ka.php] R:[http://localhost/kakei/summary.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/24 01:07:09 [127.0.0.1] (activate.adobe.com) [ka.php] R:[http://localhost/kakei/summary.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/24 01:07:34 [127.0.0.1] (activate.adobe.com) [ka.php] R:[http://localhost/kakei/summary.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/24 01:07:38 [127.0.0.1] (activate.adobe.com) [ka.php] R:[http://localhost/kakei/summary.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/24 01:07:44 [127.0.0.1] (activate.adobe.com) [ka.php] R:[http://localhost/kakei/summary.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/24 01:07:50 [127.0.0.1] (activate.adobe.com) [ka.php] R:[http://localhost/kakei/summary.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/24 01:07:54 [127.0.0.1] (activate.adobe.com) [ka.php] R:[http://localhost/kakei/summary.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/24 01:08:13 [127.0.0.1] (activate.adobe.com) [ka.php] R:[http://localhost/kakei/summary.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/24 01:08:19 [127.0.0.1] (activate.adobe.com) [ka.php] R:[http://localhost/kakei/summary.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/24 01:08:54 [127.0.0.1] (activate.adobe.com) [ka.php] R:[http://localhost/kakei/summary.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/24 01:09:05 [127.0.0.1] (activate.adobe.com) [ka.php] R:[http://localhost/kakei/summary.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/24 01:09:18 [127.0.0.1] (activate.adobe.com) [ka.php] R:[http://localhost/kakei/summary.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/24 01:12:59 [127.0.0.1] (activate.adobe.com) [ka.php] R:[http://localhost/kakei/summary.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/24 01:13:38 [127.0.0.1] (activate.adobe.com) [ka.php] R:[http://localhost/kakei/summary.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
