2015/11/25 22:12:17 [127.0.0.1] (activate.adobe.com) [ka.php] R:[http://localhost/kakei/summary.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/25 22:12:25 [127.0.0.1] (activate.adobe.com) [ka.php] R:[http://localhost/kakei/summary.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/25 22:12:30 [127.0.0.1] (activate.adobe.com) [ka.php] R:[http://localhost/kakei/summary.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/25 22:12:45 [127.0.0.1] (activate.adobe.com) [ka.php] R:[http://localhost/kakei/summary.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/25 22:13:26 [127.0.0.1] (activate.adobe.com) [ka.php] R:[http://localhost/kakei/summary.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/25 22:13:41 [127.0.0.1] (activate.adobe.com) [ka.php] R:[http://localhost/kakei/summary.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/25 22:14:28 [127.0.0.1] (activate.adobe.com) [ka.php] R:[http://localhost/kakei/summary.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/25 22:18:22 [127.0.0.1] (activate.adobe.com) [ka.php] R:[http://localhost/kakei/summary.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/25 22:19:01 [127.0.0.1] (activate.adobe.com) [ka.php] R:[http://localhost/kakei/summary.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/25 22:19:03 [127.0.0.1] (activate.adobe.com) [ka.php] R:[http://localhost/kakei/summary.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/25 22:21:05 [127.0.0.1] (activate.adobe.com) [ka.php] R:[http://localhost/kakei/summary.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
