2015/11/25 23:01:30 [127.0.0.1] (activate.adobe.com) [regist.php] R:[http://localhost/kakei/ka.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/25 23:01:46 [127.0.0.1] (activate.adobe.com) [regist.php] R:[http://localhost/kakei/ka.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/25 23:02:11 [127.0.0.1] (activate.adobe.com) [regist.php] R:[http://localhost/kakei/ka.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/25 23:02:33 [127.0.0.1] (activate.adobe.com) [regist.php] R:[http://localhost/kakei/ka.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/25 23:02:46 [127.0.0.1] (activate.adobe.com) [regist.php] R:[http://localhost/kakei/ka.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/25 23:02:56 [127.0.0.1] (activate.adobe.com) [regist.php] R:[http://localhost/kakei/ka.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/25 23:03:00 [127.0.0.1] (activate.adobe.com) [regist.php] R:[http://localhost/kakei/ka.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/25 23:03:24 [127.0.0.1] (activate.adobe.com) [regist.php] R:[http://localhost/kakei/ka.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/25 23:03:28 [127.0.0.1] (activate.adobe.com) [regist.php] R:[http://localhost/kakei/ka.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/25 23:19:07 [127.0.0.1] (activate.adobe.com) [regist.php] R:[http://localhost/kakei/ka.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
2015/11/25 23:19:24 [127.0.0.1] (activate.adobe.com) [regist.php] R:[http://localhost/kakei/ka.php] Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0
